x,y,z
2.68187,1.1372,-39.8916
2.68187,1.16329,-40.0654
2.68187,1.18938,-40.3554
2.68187,1.21547,-40.4788
2.68187,1.24155,-43.5704
2.68187,1.26764,-42.0302
2.68187,1.29373,-43.027
2.68187,1.31981,-44.1175
2.68187,1.3459,-38.4228
2.68187,1.37199,-39.4097
2.68187,1.39807,-40.2992
2.68187,1.42416,-40.3396
2.68187,1.45025,-41.0005
2.68187,1.47634,-41.8902
2.68187,1.50242,-42.4145
2.68187,1.52851,-42.4764
2.68187,1.5546,-49.4608
2.68187,1.58068,-50.7061
2.68187,1.60677,-46.9437
2.68187,1.63286,-46.2979
2.68187,1.65894,-46.3508
2.68187,1.68503,-46.7794
2.68187,1.71112,-47.4695
2.68187,1.7372,-47.9119
2.68187,1.76329,-8.17921
2.68187,1.78938,-18.3958
2.68187,1.81547,-9.41966
2.68187,1.84155,-6.5516
2.68187,1.86764,-5.26945
2.68187,1.89373,-6.21737
2.68187,1.91981,-4.39477
2.68187,1.9459,-4.38328
2.68187,1.97199,-4.89876
2.68187,1.99807,-3.9006
2.68187,2.02416,-4.58877
2.68187,2.05025,-7.22953
2.68187,2.07634,-10.1012
2.68187,2.10242,-12.6292
2.68187,2.12851,-10.5504
2.68187,2.1546,-11.6393
2.68187,2.18068,-12.0814
2.68187,2.20677,-10.3711
2.68187,2.23286,-8.48711
2.68187,2.25894,-7.17817
2.68187,2.28503,-10.4569
2.68187,2.31112,-11.648
2.68187,2.3372,-10.7471
2.68187,2.36329,-12.1908
2.68187,2.38938,-11.5871
2.70795,1.1372,-29.1841
2.70795,1.16329,-12.8657
2.70795,1.18938,-10.4178
2.70795,1.21547,-12.4048
2.70795,1.24155,-10.8151
2.70795,1.26764,-10.7178
2.70795,1.29373,-11.6685
2.70795,1.31981,-13.488
2.70795,1.3459,-26.7397
2.70795,1.37199,-42.1471
2.70795,1.39807,-43.6649
2.70795,1.42416,-43.5836
2.70795,1.45025,-45.6481
2.70795,1.47634,-44.3762
2.70795,1.50242,-45.5803
2.70795,1.52851,-46.0042
2.70795,1.5546,-48.124
2.70795,1.58068,-45.3358
2.70795,1.60677,-45.6699
2.70795,1.63286,-45.2155
2.70795,1.65894,-45.0335
2.70795,1.68503,-45.2049
2.70795,1.71112,-44.8492
2.70795,1.7372,-60.9806
2.70795,1.76329,-46.7418
2.70795,1.78938,-11.7174
2.70795,1.81547,-5.88503
2.70795,1.84155,-3.1176
2.70795,1.86764,-1.60373
2.70795,1.89373,-0.833473
2.70795,1.91981,0.0119289
2.70795,1.9459,0.713991
2.70795,1.97199,0.701829
2.70795,1.99807,1.21383
2.70795,2.02416,1.42407
2.70795,2.05025,-1.92684
2.70795,2.07634,-4.46264
2.70795,2.10242,-7.20798
